
GSE10810.tsv 	EEC 	LogisticRegression 	0.625 	0.6000 	0.7500 	0.5000 	0.6000
GSE10810.tsv 	RBC 	RandomForest 	0.7083333333333334 	0.7000 	0.8000 	0.6667 	0.7273
GSE10810.tsv 	RBC 	Gradient Boosting 	0.7083333333333334 	0.7000 	0.8000 	0.6667 	0.7273
GSE10810.tsv 	RBC 	LogisticRegression 	0.7083333333333334 	0.7000 	0.8000 	0.6667 	0.7273
GSE10810.tsv 	BBC 	RandomForest 	0.7916666666666666 	0.8000 	0.8333 	0.8333 	0.8333
GSE10810.tsv 	BBC 	Gradient Boosting 	0.7916666666666666 	0.8000 	0.8333 	0.8333 	0.8333
GSE10810.tsv 	BBC 	LogisticRegression 	0.7916666666666666 	0.8000 	0.8333 	0.8333 	0.8333
GSE10810.tsv 	BRFC 	RandomForest 	0.7083333333333334 	0.7000 	0.8000 	0.6667 	0.7273
GSE10810.tsv 	BRFC 	Gradient Boosting 	0.7083333333333334 	0.7000 	0.8000 	0.6667 	0.7273
GSE10810.tsv 	BRFC 	LogisticRegression 	0.7083333333333334 	0.7000 	0.8000 	0.6667 	0.7273
GSE5460.tsv 	ROS 	RandomForest 	0.9473684210526316 	0.9487 	1.0000 	0.8947 	0.9444
GSE5460.tsv 	ROS 	Gradient Boosting 	0.818421052631579 	0.8205 	0.8750 	0.7368 	0.8000
GSE5460.tsv 	ROS 	LogisticRegression 	1.0 	1.0000 	1.0000 	1.0000 	1.0000
GSE5460.tsv 	SMOTE 	RandomForest 	0.9736842105263157 	0.9744 	1.0000 	0.9474 	0.9730
GSE5460.tsv 	SMOTE 	Gradient Boosting 	0.9223684210526316 	0.9231 	0.9444 	0.8947 	0.9189
GSE5460.tsv 	SMOTE 	LogisticRegression 	1.0 	1.0000 	1.0000 	1.0000 	1.0000
GSE5460.tsv 	RUS 	RandomForest 	0.9736842105263157 	0.9744 	1.0000 	0.9474 	0.9730
GSE5460.tsv 	RUS 	Gradient Boosting 	0.9249999999999999 	0.9231 	0.8636 	1.0000 	0.9268
GSE5460.tsv 	RUS 	LogisticRegression 	0.9736842105263157 	0.9744 	1.0000 	0.9474 	0.9730
GSE5460.tsv 	ENN 	RandomForest 	0.9736842105263157 	0.9744 	1.0000 	0.9474 	0.9730
GSE5460.tsv 	ENN 	Gradient Boosting 	0.9473684210526316 	0.9487 	1.0000 	0.8947 	0.9444
GSE5460.tsv 	ENN 	LogisticRegression 	0.9736842105263157 	0.9744 	1.0000 	0.9474 	0.9730
GSE5460.tsv 	RENN 	RandomForest 	0.9736842105263157 	0.9744 	1.0000 	0.9474 	0.9730
GSE5460.tsv 	RENN 	Gradient Boosting 	0.9473684210526316 	0.9487 	1.0000 	0.8947 	0.9444
GSE5460.tsv 	RENN 	LogisticRegression 	0.9736842105263157 	0.9744 	1.0000 	0.9474 	0.9730
